split,model,Stage_cat,Cell_type,class,n_cells,mean_prob,q90_prob
test,Categorical MCEM-MMIL,II_III,Endothelial cells,I,1,0.0111116435763682,0.0111116435763682
test,Categorical MCEM-MMIL,II_III,Epithelial cells,I,10,0.0008437618173309562,0.0009892886818594873
test,Categorical MCEM-MMIL,II_III,Epithelial cells,II_III,10,0.5459380629917574,0.986855180846962
test,Categorical MCEM-MMIL,II_III,Myeloid cells,II_III,53,0.08183147119767525,0.2867934082266309
test,Categorical MCEM-MMIL,II_III,B lymphocytes,II_III,40,0.024911845503649575,0.00026913931269332
test,Categorical MCEM-MMIL,II_III,T lymphocytes,II_III,138,0.0171115067363673,0.013653108767130908
test,Categorical MCEM-MMIL,II_III,MAST cells,II_III,3,0.005971321157095266,0.01204246441580656
test,Categorical MCEM-MMIL,II_III,NK cells,II_III,5,2.510871361194073e-06,6.8880903896793974e-06
test,Categorical MCEM-MMIL,II_III,Undetermined,II_III,1,2.0129522528233944e-06,2.0129522528233944e-06
test,Categorical MCEM-MMIL,II_III,Endothelial cells,II_III,1,3.6011698144080985e-07,3.6011698144080985e-07
test,Categorical MCEM-MMIL,II_III,Endothelial cells,IV,1,0.9888879963066504,0.9888879963066504
test,Categorical MCEM-MMIL,II_III,Undetermined,IV,1,0.7977381168629945,0.7977381168629945
test,Categorical MCEM-MMIL,II_III,NK cells,IV,5,0.7773546216692981,0.9973329370604599
test,Categorical MCEM-MMIL,II_III,MAST cells,IV,3,0.5952323862008275,0.9283723231167305
test,Categorical MCEM-MMIL,II_III,Epithelial cells,IV,10,0.45321817519091157,0.9687754222497401
test,Categorical MCEM-MMIL,II_III,B lymphocytes,IV,40,0.3086865634162525,0.9169219253205704
test,Categorical MCEM-MMIL,II_III,T lymphocytes,IV,138,0.30567670038972794,0.9516634801666334
test,Categorical MCEM-MMIL,II_III,Myeloid cells,IV,53,0.2841418402113381,0.9999615234873356
test,Categorical MCEM-MMIL,IV,T lymphocytes,I,344,0.21875126574872072,0.7190976022305048
test,Categorical MCEM-MMIL,IV,B lymphocytes,I,195,0.16423440107255483,0.6259704130963014
test,Categorical MCEM-MMIL,IV,NK cells,I,34,0.10320373531098072,0.35241227524391266
test,Categorical MCEM-MMIL,IV,Myeloid cells,I,160,0.0688486256072927,0.026451294032034438
test,Categorical MCEM-MMIL,IV,MAST cells,I,1,0.0073517484722108,0.0073517484722108
test,Categorical MCEM-MMIL,IV,Fibroblasts,I,6,0.0062518836345473,0.015994230157755248
test,Categorical MCEM-MMIL,IV,Undetermined,I,8,0.0036472414146496972,0.007348135895180989
test,Categorical MCEM-MMIL,IV,Epithelial cells,I,267,0.000454157863773188,2.891542292025659e-10
test,Categorical MCEM-MMIL,IV,Oligodendrocytes,I,6,5.366382280924504e-09,1.609714684277351e-08
test,Categorical MCEM-MMIL,IV,Fibroblasts,II_III,6,0.07044508972881203,0.21128546300529427
test,Categorical MCEM-MMIL,IV,B lymphocytes,II_III,195,0.011070960964550137,4.3425864266104604e-05
test,Categorical MCEM-MMIL,IV,Oligodendrocytes,II_III,6,0.008086356336658279,0.02424224778728884
test,Categorical MCEM-MMIL,IV,T lymphocytes,II_III,344,0.0004092737105210992,3.7591952386206445e-05
test,Categorical MCEM-MMIL,IV,Myeloid cells,II_III,160,0.00029789365764897784,0.0001974280939489599
test,Categorical MCEM-MMIL,IV,NK cells,II_III,34,0.00022497334341274266,3.11501241925872e-05
test,Categorical MCEM-MMIL,IV,MAST cells,II_III,1,0.0001902611652993,0.0001902611652993
test,Categorical MCEM-MMIL,IV,Epithelial cells,II_III,267,1.3205406360127434e-05,2.5347255373882814e-07
test,Categorical MCEM-MMIL,IV,Undetermined,II_III,8,2.532355814833944e-09,6.660691896684285e-09
