split,model,Stage_group,Cell_type,n_cells,mean_prob,prop_gt_0.5,prop_gt_0.9
train,Naive inherited-label classifier,Advanced,NK cells,170,0.6768272568256544,1.0,0.0
train,Naive inherited-label classifier,Advanced,Fibroblasts,60,0.649775160155895,0.8833333333333333,0.016666666666666666
train,Naive inherited-label classifier,Advanced,T lymphocytes,1069,0.5605282013360544,0.8213283442469598,0.0
train,Naive inherited-label classifier,Advanced,B lymphocytes,397,0.5143757216044937,0.5743073047858942,0.0
train,Naive inherited-label classifier,Early,Epithelial cells,151,0.7400916975997066,0.8211920529801324,0.26490066225165565
train,Naive inherited-label classifier,Early,MAST cells,22,0.7328587001316552,1.0,0.0
train,Naive inherited-label classifier,Early,Undetermined,8,0.6744985558975414,1.0,0.0
train,Naive inherited-label classifier,Early,NK cells,84,0.6670742189348317,1.0,0.0
train,Naive inherited-label classifier,Early,Endothelial cells,12,0.6612355040614857,1.0,0.0
train,Naive inherited-label classifier,Early,Fibroblasts,29,0.584218851639887,0.8620689655172413,0.0
train,Naive inherited-label classifier,Early,Myeloid cells,303,0.5588746481311004,0.5544554455445545,0.006600660066006601
train,Naive inherited-label classifier,Early,T lymphocytes,912,0.5225851152574849,0.543859649122807,0.0
train,Naive inherited-label classifier,Early,B lymphocytes,349,0.48998018743025884,0.40114613180515757,0.0
