split,model,Stage_cat,Cell_type,class,n_cells,mean_prob,q90_prob
test,Categorical MCEM-MMIL,II_III,MAST cells,IV,3,0.42546792115010196,0.7018092957380506
test,Categorical MCEM-MMIL,II_III,Epithelial cells,IV,10,0.40701332630265724,0.4959591128215976
test,Categorical MCEM-MMIL,II_III,B lymphocytes,IV,40,0.371658449936892,0.6866485899044028
test,Categorical MCEM-MMIL,II_III,T lymphocytes,IV,138,0.3181644613380541,0.5915967909758492
test,Categorical MCEM-MMIL,II_III,Myeloid cells,IV,53,0.24430301192432377,0.5010230258247901
test,Categorical MCEM-MMIL,II_III,Undetermined,IV,1,0.2100374118241474,0.2100374118241474
test,Categorical MCEM-MMIL,IV,Undetermined,I,8,0.40857917149112594,0.5158206724278953
test,Categorical MCEM-MMIL,IV,B lymphocytes,I,195,0.34226870752199995,0.5730340376703024
test,Categorical MCEM-MMIL,IV,T lymphocytes,I,344,0.30500591780365816,0.5746709304943004
test,Categorical MCEM-MMIL,IV,Myeloid cells,I,160,0.26478551441247555,0.5803189562811121
test,Categorical MCEM-MMIL,IV,MAST cells,I,1,0.25886817609363,0.25886817609363
test,Categorical MCEM-MMIL,IV,NK cells,I,34,0.25076570189509334,0.5148913927588645
test,Categorical MCEM-MMIL,IV,Fibroblasts,I,6,0.18082997943947723,0.32735230826025036
test,Categorical MCEM-MMIL,IV,Oligodendrocytes,I,6,0.1221913438337131,0.2066759029451845
test,Categorical MCEM-MMIL,IV,Epithelial cells,I,267,0.06882431926104941,0.11173862154956182
test,Categorical MCEM-MMIL,IV,Fibroblasts,II_III,6,0.08985902317778192,0.13511109880345518
test,Categorical MCEM-MMIL,IV,Epithelial cells,II_III,267,0.07301016543473418,0.21202213612827683
test,Categorical MCEM-MMIL,IV,Undetermined,II_III,8,0.059063777620996155,0.10362900579716074
test,Categorical MCEM-MMIL,IV,Oligodendrocytes,II_III,6,0.05320152976916537,0.078813649116752
test,Categorical MCEM-MMIL,IV,Myeloid cells,II_III,160,0.04633854942231521,0.10462905103655357
test,Categorical MCEM-MMIL,IV,B lymphocytes,II_III,195,0.04564754275534333,0.09565279027943159
test,Categorical MCEM-MMIL,IV,NK cells,II_III,34,0.04103392035877854,0.06996076414032538
test,Categorical MCEM-MMIL,IV,T lymphocytes,II_III,344,0.03223237366357596,0.065623065965802
test,Categorical MCEM-MMIL,IV,MAST cells,II_III,1,0.0179370186655066,0.0179370186655066
test,Categorical MCEM-MMIL,IV,Epithelial cells,IV,267,0.8581655153042163,0.9495474674920579
test,Categorical MCEM-MMIL,IV,Oligodendrocytes,IV,6,0.8246071263971215,0.9188714529057528
test,Categorical MCEM-MMIL,IV,Fibroblasts,IV,6,0.7293109973827409,0.8583003515953107
test,Categorical MCEM-MMIL,IV,MAST cells,IV,1,0.7231948052408633,0.7231948052408633
test,Categorical MCEM-MMIL,IV,NK cells,IV,34,0.7082003777461281,0.9311580557223375
test,Categorical MCEM-MMIL,IV,Myeloid cells,IV,160,0.6888759361652091,0.9050590992631312
test,Categorical MCEM-MMIL,IV,T lymphocytes,IV,344,0.6627617085327657,0.888443648808072
test,Categorical MCEM-MMIL,IV,B lymphocytes,IV,195,0.6120837497226564,0.8306770753630327
test,Categorical MCEM-MMIL,IV,Undetermined,IV,8,0.5323570508878779,0.625461092544357
test,Naive inherited-label classifier,I,Undetermined,I,2,0.6450165730666406,0.6840163866194403
test,Naive inherited-label classifier,I,B lymphocytes,I,43,0.5398836791333373,0.7226818549333498
test,Naive inherited-label classifier,I,T lymphocytes,I,248,0.5095321124789441,0.6983392245481294
test,Naive inherited-label classifier,I,Myeloid cells,I,168,0.5056512616533196,0.6811123180642313
test,Naive inherited-label classifier,I,NK cells,I,81,0.37737951621132654,0.5439024648651848
test,Naive inherited-label classifier,I,MAST cells,I,35,0.35257245074220545,0.5388015908600523
test,Naive inherited-label classifier,I,Endothelial cells,I,29,0.3278055421331593,0.5105998458136587
test,Naive inherited-label classifier,I,Fibroblasts,I,31,0.32038825117659664,0.4719110938270879
test,Naive inherited-label classifier,I,Epithelial cells,I,109,0.216869884462597,0.4452526012839621
test,Naive inherited-label classifier,I,Fibroblasts,II_III,31,0.4231577533062464,0.6801073703193822
test,Naive inherited-label classifier,I,NK cells,II_III,81,0.3251868868751922,0.5424493632085526
test,Naive inherited-label classifier,I,Myeloid cells,II_III,168,0.29434619825260355,0.48877315807909105
test,Naive inherited-label classifier,I,Endothelial cells,II_III,29,0.28132936939226744,0.4277077070561735
test,Naive inherited-label classifier,I,Epithelial cells,II_III,109,0.27456934847417924,0.38363724376838837
test,Naive inherited-label classifier,I,MAST cells,II_III,35,0.2745252659053894,0.4642609672475546
test,Naive inherited-label classifier,I,T lymphocytes,II_III,248,0.23312527107286238,0.4498548160158575
test,Naive inherited-label classifier,I,B lymphocytes,II_III,43,0.17293613965269103,0.30030787735718684
test,Naive inherited-label classifier,I,Undetermined,II_III,2,0.10117095979281665,0.10902570540155646
test,Naive inherited-label classifier,I,Epithelial cells,IV,109,0.5085607670632237,0.6901070779797115
test,Naive inherited-label classifier,I,Endothelial cells,IV,29,0.39086508847457324,0.6327491509755121
test,Naive inherited-label classifier,I,MAST cells,IV,35,0.3729022833524052,0.6560237747880341
test,Naive inherited-label classifier,I,NK cells,IV,81,0.2974335969134812,0.4874073870535262
test,Naive inherited-label classifier,I,B lymphocytes,IV,43,0.2871801812139715,0.4463043694346106
test,Naive inherited-label classifier,I,T lymphocytes,IV,248,0.2573426164481934,0.4530729828987476
test,Naive inherited-label classifier,I,Fibroblasts,IV,31,0.256453995517157,0.4403994083404541
test,Naive inherited-label classifier,I,Undetermined,IV,2,0.2538124671405427,0.2849575350846027
test,Naive inherited-label classifier,I,Myeloid cells,IV,168,0.20000254009407667,0.3835013544680537
test,Naive inherited-label classifier,II_III,Undetermined,I,1,0.6253550741874437,0.6253550741874437
test,Naive inherited-label classifier,II_III,T lymphocytes,I,138,0.5506941254448692,0.7285732190724354
test,Naive inherited-label classifier,II_III,B lymphocytes,I,40,0.5422788163832738,0.7327979249412413
test,Naive inherited-label classifier,II_III,Myeloid cells,I,53,0.5317959272609621,0.7101394109690992
test,Naive inherited-label classifier,II_III,MAST cells,I,3,0.45132652379365895,0.6948357279095594
test,Naive inherited-label classifier,II_III,Endothelial cells,I,1,0.4422413675307208,0.4422413675307208
test,Naive inherited-label classifier,II_III,NK cells,I,5,0.35731547378277784,0.5086596353115418
test,Naive inherited-label classifier,II_III,Epithelial cells,I,10,0.2786138223951506,0.3911313009053789
test,Naive inherited-label classifier,II_III,Epithelial cells,II_III,10,0.2913667049516054,0.3576520955320558
test,Naive inherited-label classifier,II_III,NK cells,II_III,5,0.2606379726252742,0.49870947116635317
test,Naive inherited-label classifier,II_III,Myeloid cells,II_III,53,0.23317315750989365,0.3876208028098148
test,Naive inherited-label classifier,II_III,Endothelial cells,II_III,1,0.1961822512610069,0.1961822512610069
test,Naive inherited-label classifier,II_III,Undetermined,II_III,1,0.1633749032523468,0.1633749032523468
test,Naive inherited-label classifier,II_III,T lymphocytes,II_III,138,0.13541760503411016,0.27875100871347896
test,Naive inherited-label classifier,II_III,MAST cells,II_III,3,0.12511027591193746,0.16652658833693385
test,Naive inherited-label classifier,II_III,B lymphocytes,II_III,40,0.11235711938961183,0.1878758168294631
test,Naive inherited-label classifier,II_III,Epithelial cells,IV,10,0.430019472653244,0.5352323131353716
test,Naive inherited-label classifier,II_III,MAST cells,IV,3,0.4235632002944035,0.6681761027057217
test,Naive inherited-label classifier,II_III,NK cells,IV,5,0.38204655359194784,0.5566892860178919
test,Naive inherited-label classifier,II_III,Endothelial cells,IV,1,0.3615763812082722,0.3615763812082722
test,Naive inherited-label classifier,II_III,B lymphocytes,IV,40,0.3453640642271142,0.5219707335404142
test,Naive inherited-label classifier,II_III,T lymphocytes,IV,138,0.3138882695210205,0.5194805439718262
test,Naive inherited-label classifier,II_III,Myeloid cells,IV,53,0.2350309152291442,0.4763763081671234
test,Naive inherited-label classifier,II_III,Undetermined,IV,1,0.2112700225602093,0.2112700225602093
test,Naive inherited-label classifier,IV,Undetermined,I,8,0.328680213752948,0.42172916926562953
test,Naive inherited-label classifier,IV,B lymphocytes,I,195,0.32837519005924326,0.5377258586709527
test,Naive inherited-label classifier,IV,T lymphocytes,I,344,0.297631460856626,0.5277815291472332
test,Naive inherited-label classifier,IV,Myeloid cells,I,160,0.2590675461798185,0.4986727893352508
test,Naive inherited-label classifier,IV,Fibroblasts,I,6,0.23814739842488605,0.37472659190758584
test,Naive inherited-label classifier,IV,NK cells,I,34,0.23478298234199776,0.4470620761442812
test,Naive inherited-label classifier,IV,MAST cells,I,1,0.1904506761412815,0.1904506761412815
test,Naive inherited-label classifier,IV,Oligodendrocytes,I,6,0.14086974417943057,0.1962906033415499
test,Naive inherited-label classifier,IV,Epithelial cells,I,267,0.11643847923466674,0.17780622416354558
test,Naive inherited-label classifier,IV,Fibroblasts,II_III,6,0.13829363665080016,0.19245625191088733
test,Naive inherited-label classifier,IV,Undetermined,II_III,8,0.12599805527406355,0.24468723141356372
