split,model,Stage_cat,Cell_type,class,n_cells,mean_prob,q90_prob
test,Categorical MCEM-MMIL,I,B lymphocytes,IV,43,0.5257243059746668,0.678204731307271
test,Categorical MCEM-MMIL,I,Myeloid cells,IV,168,0.4446016167171953,0.9731616800444344
test,Categorical MCEM-MMIL,I,Fibroblasts,IV,31,0.2557335278239989,0.5732297667951695
test,Categorical MCEM-MMIL,II_III,Myeloid cells,I,53,0.5123035299855134,0.8645310163095764
test,Categorical MCEM-MMIL,II_III,B lymphocytes,I,40,0.5072908663552269,0.6618362242339387
test,Categorical MCEM-MMIL,II_III,T lymphocytes,I,138,0.4592100265118664,0.6258307427133035
test,Categorical MCEM-MMIL,II_III,MAST cells,I,3,0.3577589055386319,0.6870396606993692
test,Categorical MCEM-MMIL,II_III,Endothelial cells,I,1,0.2174057052611102,0.2174057052611102
test,Categorical MCEM-MMIL,II_III,Undetermined,I,1,0.2064956009544912,0.2064956009544912
test,Categorical MCEM-MMIL,II_III,NK cells,I,5,0.15115447829365897,0.21428404711269405
test,Categorical MCEM-MMIL,II_III,Epithelial cells,I,10,0.011831042652057928,0.015215574519596625
test,Categorical MCEM-MMIL,II_III,Myeloid cells,II_III,53,0.06607377840299435,0.13296589777709603
test,Categorical MCEM-MMIL,II_III,NK cells,II_III,5,0.05745997122429615,0.11247087626348878
test,Categorical MCEM-MMIL,II_III,MAST cells,II_III,3,0.047383532333483434,0.09925899951093409
test,Categorical MCEM-MMIL,II_III,Endothelial cells,II_III,1,0.0261786509477683,0.0261786509477683
test,Categorical MCEM-MMIL,II_III,T lymphocytes,II_III,138,0.009631837085729606,0.017610377404758428
test,Categorical MCEM-MMIL,II_III,Epithelial cells,II_III,10,0.00914556990218238,0.013461437633380566
test,Categorical MCEM-MMIL,II_III,B lymphocytes,II_III,40,0.005173597875816968,0.007407087880811541
test,Categorical MCEM-MMIL,II_III,Undetermined,II_III,1,0.0050020158939687,0.0050020158939687
test,Categorical MCEM-MMIL,II_III,Epithelial cells,IV,10,0.9790233874457597,0.9945113076957179
test,Categorical MCEM-MMIL,II_III,NK cells,IV,5,0.7913855504820448,0.8725587058191429
test,Categorical MCEM-MMIL,II_III,Undetermined,IV,1,0.7885023831515401,0.7885023831515401
test,Categorical MCEM-MMIL,II_III,Endothelial cells,IV,1,0.7564156437911214,0.7564156437911214
test,Categorical MCEM-MMIL,II_III,MAST cells,IV,3,0.5948575621278845,0.8669944731508004
test,Categorical MCEM-MMIL,II_III,T lymphocytes,IV,138,0.531158136402404,0.7247584947586957
test,Categorical MCEM-MMIL,II_III,B lymphocytes,IV,40,0.48753553576895625,0.6877278991450131
test,Categorical MCEM-MMIL,II_III,Myeloid cells,IV,53,0.4216226916114921,0.9474243891431956
test,Categorical MCEM-MMIL,IV,B lymphocytes,I,195,0.4734705271845747,0.6283111613220638
test,Categorical MCEM-MMIL,IV,T lymphocytes,I,344,0.4655952851658434,0.6168534556764097
test,Categorical MCEM-MMIL,IV,Undetermined,I,8,0.22521049371879592,0.26781470774047944
test,Categorical MCEM-MMIL,IV,NK cells,I,34,0.18560895886618994,0.2689511497074405
test,Categorical MCEM-MMIL,IV,MAST cells,I,1,0.1140303151668656,0.1140303151668656
test,Categorical MCEM-MMIL,IV,Myeloid cells,I,160,0.08431078195773858,0.17081212084881772
test,Categorical MCEM-MMIL,IV,Fibroblasts,I,6,0.06840023924579293,0.11024947155782686
test,Categorical MCEM-MMIL,IV,Oligodendrocytes,I,6,0.028309217723894702,0.04946177698500285
test,Categorical MCEM-MMIL,IV,Epithelial cells,I,267,0.007972008028759997,0.018902812111591304
test,Categorical MCEM-MMIL,IV,Oligodendrocytes,II_III,6,0.5284206435788336,0.8103558295574999
test,Categorical MCEM-MMIL,IV,Fibroblasts,II_III,6,0.10729340971615438,0.26674968533924714
test,Categorical MCEM-MMIL,IV,NK cells,II_III,34,0.026224914565082368,0.041977587160653314
test,Categorical MCEM-MMIL,IV,T lymphocytes,II_III,344,0.008918886643096393,0.014796873692575258
test,Categorical MCEM-MMIL,IV,MAST cells,II_III,1,0.008818598609489,0.008818598609489
test,Categorical MCEM-MMIL,IV,Undetermined,II_III,8,0.00843837819134885,0.01059684720352404
test,Categorical MCEM-MMIL,IV,Myeloid cells,II_III,160,0.0059441092502376365,0.0131376156610381
test,Categorical MCEM-MMIL,IV,B lymphocytes,II_III,195,0.004720084995487607,0.00655242024902184
test,Categorical MCEM-MMIL,IV,Epithelial cells,II_III,267,0.0015761332530153124,0.0029157711928723003
test,Categorical MCEM-MMIL,IV,Epithelial cells,IV,267,0.9904518587182245,0.9990201111577003
test,Categorical MCEM-MMIL,IV,Myeloid cells,IV,160,0.9097451087920236,0.9817770199517483
test,Categorical MCEM-MMIL,IV,MAST cells,IV,1,0.8771510862236455,0.8771510862236455
test,Categorical MCEM-MMIL,IV,Fibroblasts,IV,6,0.8243063510380527,0.9491596088033198
test,Categorical MCEM-MMIL,IV,NK cells,IV,34,0.7881661265687275,0.9009604109704982
test,Categorical MCEM-MMIL,IV,Undetermined,IV,8,0.7663511280898552,0.823187539520437
test,Categorical MCEM-MMIL,IV,T lymphocytes,IV,344,0.52548582819106,0.699242220701669
test,Categorical MCEM-MMIL,IV,B lymphocytes,IV,195,0.5218093878199378,0.7004487573048546
test,Categorical MCEM-MMIL,IV,Oligodendrocytes,IV,6,0.44327013869727167,0.7944225463273216
test,Naive inherited-label classifier,I,B lymphocytes,I,43,0.4619723169930224,0.5428924276912309
test,Naive inherited-label classifier,I,Myeloid cells,I,168,0.43096558876263924,0.6764531294278474
test,Naive inherited-label classifier,I,T lymphocytes,I,248,0.39509647639900963,0.5142250908186254
test,Naive inherited-label classifier,I,Undetermined,I,2,0.3175607967685915,0.3224466377823964
test,Naive inherited-label classifier,I,Fibroblasts,I,31,0.26737071651141314,0.3450102370261673
test,Naive inherited-label classifier,I,NK cells,I,81,0.2542914838948585,0.2928656358064264
test,Naive inherited-label classifier,I,Endothelial cells,I,29,0.2518937305252216,0.3311686172762266
test,Naive inherited-label classifier,I,MAST cells,I,35,0.22181281015132562,0.2747398866118087
test,Naive inherited-label classifier,I,Epithelial cells,I,109,0.1277262444935609,0.256529901928474
test,Naive inherited-label classifier,I,Fibroblasts,II_III,31,0.5368690469645997,0.6913894070841371
test,Naive inherited-label classifier,I,Endothelial cells,II_III,29,0.23162422839872904,0.28660012269320917
test,Naive inherited-label classifier,I,NK cells,II_III,81,0.22362014737546498,0.2691053082661577
test,Naive inherited-label classifier,I,Myeloid cells,II_III,168,0.17365569854662496,0.24050990750231677
test,Naive inherited-label classifier,I,MAST cells,II_III,35,0.16499496072825173,0.1830125778810611
test,Naive inherited-label classifier,I,T lymphocytes,II_III,248,0.1360066353236992,0.17739518622884518
