split,model,Stage_cat,Cell_type,class,n_cells,mean_prob,q90_prob
test,Categorical MCEM-MMIL,I,Undetermined,I,2,0.9328100409377305,0.9844632296144396
test,Categorical MCEM-MMIL,I,B lymphocytes,I,43,0.8120946494599252,0.9992481234925016
test,Categorical MCEM-MMIL,I,T lymphocytes,I,248,0.6091383893935284,0.9978238845397637
test,Categorical MCEM-MMIL,I,MAST cells,I,35,0.585627674834483,0.9805477427416545
test,Categorical MCEM-MMIL,I,Myeloid cells,I,168,0.5735129252548533,0.9973806900428193
test,Categorical MCEM-MMIL,I,Endothelial cells,I,29,0.5093773133203632,0.9883799067147224
test,Categorical MCEM-MMIL,I,Fibroblasts,I,31,0.41691916243860994,0.9899893206596034
test,Categorical MCEM-MMIL,I,NK cells,I,81,0.3380316437860622,0.9165707921968916
test,Categorical MCEM-MMIL,I,Epithelial cells,I,109,0.28172909550404124,0.9838168517383995
test,Categorical MCEM-MMIL,I,Fibroblasts,II_III,31,0.4701871341975676,0.9999999997776778
test,Categorical MCEM-MMIL,I,MAST cells,II_III,35,0.28292534803711905,0.9041479375887388
test,Categorical MCEM-MMIL,I,NK cells,II_III,81,0.25662170164583065,0.962754843208036
test,Categorical MCEM-MMIL,I,Epithelial cells,II_III,109,0.2253223925719892,0.9796087324278818
test,Categorical MCEM-MMIL,I,T lymphocytes,II_III,248,0.22078302371466485,0.8552331069343202
test,Categorical MCEM-MMIL,I,Myeloid cells,II_III,168,0.15135764337347576,0.5642267907552974
test,Categorical MCEM-MMIL,I,Endothelial cells,II_III,29,0.04978847816051997,0.053343404927635875
test,Categorical MCEM-MMIL,I,B lymphocytes,II_III,43,0.01392344452184806,0.00036699220995464103
test,Categorical MCEM-MMIL,I,Undetermined,II_III,2,5.4041653116041064e-11,6.094197182602193e-11
test,Categorical MCEM-MMIL,I,Epithelial cells,IV,109,0.4929485119239696,0.9998366182009936
test,Categorical MCEM-MMIL,I,Endothelial cells,IV,29,0.4408342085191168,0.9814151521420891
test,Categorical MCEM-MMIL,I,NK cells,IV,81,0.4053466545681072,0.977013437448484
test,Categorical MCEM-MMIL,I,Myeloid cells,IV,168,0.275129431371671,0.9967260279166906
test,Categorical MCEM-MMIL,I,B lymphocytes,IV,43,0.17398190601822686,0.5898473517110671
test,Categorical MCEM-MMIL,I,T lymphocytes,IV,248,0.17007858689180666,0.6780248432364955
test,Categorical MCEM-MMIL,I,MAST cells,IV,35,0.13144697712839795,0.30377141237133765
test,Categorical MCEM-MMIL,I,Fibroblasts,IV,31,0.11289370336382246,0.1849086589601702
test,Categorical MCEM-MMIL,I,Undetermined,IV,2,0.06718995900822795,0.11884314767803672
test,Categorical MCEM-MMIL,II_III,MAST cells,I,3,0.7367567838777713,0.9853582406503233
test,Categorical MCEM-MMIL,II_III,Myeloid cells,I,53,0.644329641475238,0.9974149259415497
test,Categorical MCEM-MMIL,II_III,T lymphocytes,I,138,0.6434188222255948,0.9984366865453222
test,Categorical MCEM-MMIL,II_III,Undetermined,I,1,0.5659780195904355,0.5659780195904355
test,Categorical MCEM-MMIL,II_III,B lymphocytes,I,40,0.5356979840514324,0.9794652808597818
test,Categorical MCEM-MMIL,II_III,Epithelial cells,I,10,0.3049818814827738,0.8983476688318345
test,Categorical MCEM-MMIL,II_III,Endothelial cells,I,1,0.2467017641484323,0.2467017641484323
test,Categorical MCEM-MMIL,II_III,NK cells,I,5,0.11883279992288047,0.25395881153567756
test,Categorical MCEM-MMIL,II_III,Epithelial cells,II_III,10,0.5356836016942923,0.968483409270741
test,Categorical MCEM-MMIL,II_III,MAST cells,II_III,3,0.20610147158904132,0.47045168336320536
test,Categorical MCEM-MMIL,II_III,T lymphocytes,II_III,138,0.043072190421693385,0.05677728524267652
test,Categorical MCEM-MMIL,II_III,Myeloid cells,II_III,53,0.024299560410140277,0.11131571727570408
test,Categorical MCEM-MMIL,II_III,B lymphocytes,II_III,40,0.004601976741136863,0.0016713750842058414
test,Categorical MCEM-MMIL,II_III,NK cells,II_III,5,0.002315035861814121,0.0058795931587428
test,Categorical MCEM-MMIL,II_III,Endothelial cells,II_III,1,9.137509344179415e-06,9.137509344179415e-06
test,Categorical MCEM-MMIL,II_III,Undetermined,II_III,1,7.831089111332728e-09,7.831089111332728e-09
test,Categorical MCEM-MMIL,II_III,NK cells,IV,5,0.8788521642153053,0.9765159614611296
test,Categorical MCEM-MMIL,II_III,Endothelial cells,IV,1,0.7532890983422236,0.7532890983422236
test,Categorical MCEM-MMIL,II_III,B lymphocytes,IV,40,0.4597000392074307,0.9696641058750562
test,Categorical MCEM-MMIL,II_III,Undetermined,IV,1,0.4340219725784753,0.4340219725784753
test,Categorical MCEM-MMIL,II_III,Myeloid cells,IV,53,0.3313707981146217,0.9933393806685634
test,Categorical MCEM-MMIL,II_III,T lymphocytes,IV,138,0.3135089873527119,0.9390595513064817
test,Categorical MCEM-MMIL,II_III,Epithelial cells,IV,10,0.1593345168229338,0.6946926962814801
test,Categorical MCEM-MMIL,II_III,MAST cells,IV,3,0.05714174453318734,0.1298225569231064
test,Categorical MCEM-MMIL,IV,Fibroblasts,I,6,0.3342639289942753,0.9909884001523669
test,Categorical MCEM-MMIL,IV,MAST cells,I,1,0.2911537108372447,0.2911537108372447
test,Categorical MCEM-MMIL,IV,B lymphocytes,I,195,0.22945519540701192,0.8183599807823674
test,Categorical MCEM-MMIL,IV,T lymphocytes,I,344,0.19646284562913746,0.7821091113300819
test,Categorical MCEM-MMIL,IV,NK cells,I,34,0.13293602738197288,0.4305123528415744
test,Categorical MCEM-MMIL,IV,Epithelial cells,I,267,0.08975905330845596,0.3094684858000388
test,Categorical MCEM-MMIL,IV,Myeloid cells,I,160,0.0251947295694459,0.009666177824709788
test,Categorical MCEM-MMIL,IV,Undetermined,I,8,0.019606826601138185,0.05549219572662652
test,Categorical MCEM-MMIL,IV,Oligodendrocytes,I,6,0.0007016042979879458,0.0019603534150417
test,Categorical MCEM-MMIL,IV,Oligodendrocytes,II_III,6,0.17001292646665436,0.49900084986488363
test,Categorical MCEM-MMIL,IV,Fibroblasts,II_III,6,0.012192376897445907,0.036570471547364605
test,Categorical MCEM-MMIL,IV,Myeloid cells,II_III,160,0.007821783496099764,0.0003904913167115299
test,Categorical MCEM-MMIL,IV,NK cells,II_III,34,0.003055444558117762,0.0029885914474063985
test,Categorical MCEM-MMIL,IV,B lymphocytes,II_III,195,0.0028498673723783303,1.9428935441178217e-05
test,Categorical MCEM-MMIL,IV,Epithelial cells,II_III,267,0.002444695759326303,8.698688104053904e-06
test,Categorical MCEM-MMIL,IV,T lymphocytes,II_III,344,0.002156570263559128,0.00021747803735138995
test,Categorical MCEM-MMIL,IV,MAST cells,II_III,1,0.0009081358629669,0.0009081358629669
test,Categorical MCEM-MMIL,IV,Undetermined,II_III,8,7.54725524693217e-09,2.8288018562804203e-08
test,Categorical MCEM-MMIL,IV,Undetermined,IV,8,0.9803931658516065,0.9999747426707978
test,Categorical MCEM-MMIL,IV,Myeloid cells,IV,160,0.9669834869344545,0.9999999998580636
test,Categorical MCEM-MMIL,IV,Epithelial cells,IV,267,0.9077962509322177,0.9999751154877532
test,Categorical MCEM-MMIL,IV,NK cells,IV,34,0.8640085280599094,0.9999838260421245
test,Categorical MCEM-MMIL,IV,Oligodendrocytes,IV,6,0.8292854692353577,0.9997419400899847
test,Categorical MCEM-MMIL,IV,T lymphocytes,IV,344,0.8013805841073035,0.9999967299103659
test,Categorical MCEM-MMIL,IV,B lymphocytes,IV,195,0.7676949372206098,0.9999409654225108
test,Categorical MCEM-MMIL,IV,MAST cells,IV,1,0.7079381532997884,0.7079381532997884
test,Categorical MCEM-MMIL,IV,Fibroblasts,IV,6,0.6535436941082787,0.9999900021260323
test,Naive inherited-label classifier,I,Undetermined,I,2,0.7377160919978415,0.8458776380533531
test,Naive inherited-label classifier,I,B lymphocytes,I,43,0.6378065314870528,0.8459676265294659
test,Naive inherited-label classifier,I,Myeloid cells,I,168,0.5656107705048967,0.8270255886566433
test,Naive inherited-label classifier,I,T lymphocytes,I,248,0.5351464252084196,0.8180689747710955
test,Naive inherited-label classifier,I,Fibroblasts,I,31,0.4143329464309677,0.7232407895453524
test,Naive inherited-label classifier,I,MAST cells,I,35,0.3545496662822996,0.547617119300185
test,Naive inherited-label classifier,I,Endothelial cells,I,29,0.33757043551137295,0.5646385400750323
test,Naive inherited-label classifier,I,NK cells,I,81,0.33683911913985104,0.5632070452848442
test,Naive inherited-label classifier,I,Epithelial cells,I,109,0.27719968897496794,0.5600492725712175
test,Naive inherited-label classifier,I,Fibroblasts,II_III,31,0.3571799339884131,0.8321234698382812
test,Naive inherited-label classifier,I,NK cells,II_III,81,0.35123287278481286,0.6239543253345348
test,Naive inherited-label classifier,I,MAST cells,II_III,35,0.2897764318712372,0.4122683180168876
test,Naive inherited-label classifier,I,Epithelial cells,II_III,109,0.2482995296301803,0.6081651480986067
test,Naive inherited-label classifier,I,T lymphocytes,II_III,248,0.23251876778869907,0.46700383456518585
test,Naive inherited-label classifier,I,Myeloid cells,II_III,168,0.20829411899451303,0.35448477918400884
test,Naive inherited-label classifier,I,Endothelial cells,II_III,29,0.16612369901011806,0.29543196023377905
test,Naive inherited-label classifier,I,B lymphocytes,II_III,43,0.08513143778892163,0.13363535448714606
test,Naive inherited-label classifier,I,Undetermined,II_III,2,0.0224340253339373,0.023598712951724183
test,Naive inherited-label classifier,I,Endothelial cells,IV,29,0.496305865478509,0.7335784790486978
test,Naive inherited-label classifier,I,Epithelial cells,IV,109,0.47450078139485163,0.9571696396506292
test,Naive inherited-label classifier,I,MAST cells,IV,35,0.3556739018464632,0.6076319274700636
test,Naive inherited-label classifier,I,NK cells,IV,81,0.31192800807533605,0.6671778044263168
test,Naive inherited-label classifier,I,B lymphocytes,IV,43,0.27706203072402547,0.5393921909127949
test,Naive inherited-label classifier,I,Undetermined,IV,2,0.23984988266822116,0.3491761163415197
test,Naive inherited-label classifier,I,T lymphocytes,IV,248,0.23233480700288126,0.4671248260230727
test,Naive inherited-label classifier,I,Fibroblasts,IV,31,0.22848711958061915,0.6142132476066131
test,Naive inherited-label classifier,I,Myeloid cells,IV,168,0.2260951105005902,0.6573894228836772
test,Naive inherited-label classifier,II_III,Undetermined,I,1,0.5837814534720602,0.5837814534720602
test,Naive inherited-label classifier,II_III,Myeloid cells,I,53,0.5447572152814165,0.8345315013124437
test,Naive inherited-label classifier,II_III,T lymphocytes,I,138,0.5315241334164155,0.827278214810697
test,Naive inherited-label classifier,II_III,MAST cells,I,3,0.5161093030505407,0.7616707980860907
test,Naive inherited-label classifier,II_III,B lymphocytes,I,40,0.47360348334205343,0.7290648894931057
test,Naive inherited-label classifier,II_III,Endothelial cells,I,1,0.3532562323715271,0.3532562323715271
test,Naive inherited-label classifier,II_III,NK cells,I,5,0.32167366786622986,0.44071807892973763
test,Naive inherited-label classifier,II_III,Epithelial cells,I,10,0.30329048365872846,0.41194449738367545
test,Naive inherited-label classifier,II_III,Epithelial cells,II_III,10,0.4287854793639799,0.6149291100488761
test,Naive inherited-label classifier,II_III,MAST cells,II_III,3,0.24920482808939445,0.32358917102612006
test,Naive inherited-label classifier,II_III,Myeloid cells,II_III,53,0.1586473052824222,0.28609121511674906
test,Naive inherited-label classifier,II_III,NK cells,II_III,5,0.1456634442219036,0.21552335911020165
test,Naive inherited-label classifier,II_III,T lymphocytes,II_III,138,0.1401749734038924,0.3270603002344381
test,Naive inherited-label classifier,II_III,Endothelial cells,II_III,1,0.1241313600086947,0.1241313600086947
test,Naive inherited-label classifier,II_III,B lymphocytes,II_III,40,0.05927110117205845,0.10705926042521807
test,Naive inherited-label classifier,II_III,Undetermined,II_III,1,0.055533042596587,0.055533042596587
test,Naive inherited-label classifier,II_III,NK cells,IV,5,0.5326628879118666,0.6209925242778752
test,Naive inherited-label classifier,II_III,Endothelial cells,IV,1,0.5226124076197781,0.5226124076197781
test,Naive inherited-label classifier,II_III,B lymphocytes,IV,40,0.467125415485888,0.769785884189495
test,Naive inherited-label classifier,II_III,Undetermined,IV,1,0.3606855039313527,0.3606855039313527
test,Naive inherited-label classifier,II_III,T lymphocytes,IV,138,0.3283008931796921,0.653498108863276
test,Naive inherited-label classifier,II_III,Myeloid cells,IV,53,0.29659547943616127,0.7623179117146572
test,Naive inherited-label classifier,II_III,Epithelial cells,IV,10,0.2679240369772915,0.5335726248487076
test,Naive inherited-label classifier,II_III,MAST cells,IV,3,0.23468586886006493,0.36356248711808925
test,Naive inherited-label classifier,IV,B lymphocytes,I,195,0.30907194403457033,0.5952771910885961
test,Naive inherited-label classifier,IV,Fibroblasts,I,6,0.2755691668201516,0.5974892320549036
test,Naive inherited-label classifier,IV,T lymphocytes,I,344,0.25798437347373554,0.574969989102114
test,Naive inherited-label classifier,IV,MAST cells,I,1,0.246827545605108,0.246827545605108
test,Naive inherited-label classifier,IV,NK cells,I,34,0.21587452937948926,0.40444147442814965
test,Naive inherited-label classifier,IV,Undetermined,I,8,0.14742452728775968,0.29208873409534164
test,Naive inherited-label classifier,IV,Myeloid cells,I,160,0.104796717789021,0.26904453443444026
test,Naive inherited-label classifier,IV,Epithelial cells,I,267,0.09016581963344437,0.20865975592581487
test,Naive inherited-label classifier,IV,Oligodendrocytes,I,6,0.004112292841162101,0.0076726565888111005
test,Naive inherited-label classifier,IV,Oligodendrocytes,II_III,6,0.22123037585813407,0.37705750746305433
test,Naive inherited-label classifier,IV,Fibroblasts,II_III,6,0.16161513529140462,0.37455595782683104
test,Naive inherited-label classifier,IV,NK cells,II_III,34,0.10532831776546484,0.2632634850056793
test,Naive inherited-label classifier,IV,MAST cells,II_III,1,0.0843917944363666,0.0843917944363666
test,Naive inherited-label classifier,IV,T lymphocytes,II_III,344,0.060758846239151766,0.11567792860191681
test,Naive inherited-label classifier,IV,Myeloid cells,II_III,160,0.059698762786344985,0.14615585144026721
test,Naive inherited-label classifier,IV,B lymphocytes,II_III,195,0.04687226086117566,0.08119974525133486
test,Naive inherited-label classifier,IV,Epithelial cells,II_III,267,0.030085111861152033,0.07326505152893804
test,Naive inherited-label classifier,IV,Undetermined,II_III,8,0.02606465930773845,0.04833820376100403
test,Naive inherited-label classifier,IV,Epithelial cells,IV,267,0.8797490685054035,0.9840942054168963
test,Naive inherited-label classifier,IV,Myeloid cells,IV,160,0.835504519424634,0.9856990383426788
test,Naive inherited-label classifier,IV,Undetermined,IV,8,0.8265108134045018,0.9592385298019608
test,Naive inherited-label classifier,IV,Oligodendrocytes,IV,6,0.7746573313007037,0.9541956252352493
test,Naive inherited-label classifier,IV,T lymphocytes,IV,344,0.6812567802871127,0.9671835265402295
test,Naive inherited-label classifier,IV,NK cells,IV,34,0.6787971528550459,0.9352329452149293
test,Naive inherited-label classifier,IV,MAST cells,IV,1,0.6687806599585254,0.6687806599585254
test,Naive inherited-label classifier,IV,B lymphocytes,IV,195,0.644055795104254,0.9223341282041797
test,Naive inherited-label classifier,IV,Fibroblasts,IV,6,0.5628156978884437,0.9094489069335139
train,Categorical EM-MMIL,I,Endothelial cells,I,9,0.8889339706650013,0.9990503272712564
train,Categorical EM-MMIL,I,B lymphocytes,I,298,0.785018544399589,0.9999090829914522
train,Categorical EM-MMIL,I,T lymphocytes,I,762,0.7481254274506502,0.9999270518316874
train,Categorical EM-MMIL,I,Myeloid cells,I,271,0.6848391713943627,0.999651668928244
train,Categorical EM-MMIL,I,MAST cells,I,19,0.6750134161121151,0.9874641286815796
train,Categorical EM-MMIL,I,NK cells,I,58,0.6451793194533797,0.9999644534882929
train,Categorical EM-MMIL,I,Undetermined,I,5,0.5607640888003376,0.9844208317500197
train,Categorical EM-MMIL,I,Epithelial cells,I,75,0.48360293552717554,0.9985382703997414
train,Categorical EM-MMIL,I,Fibroblasts,I,13,0.36523442185249044,0.9476204687276442
train,Categorical EM-MMIL,I,Fibroblasts,II_III,13,0.23318465436595187,0.9999850121515468
train,Categorical EM-MMIL,I,Epithelial cells,II_III,75,0.15671793126423658,0.9207668577418305
train,Categorical EM-MMIL,I,NK cells,II_III,58,0.14471633195671582,0.5305370047928728
train,Categorical EM-MMIL,I,MAST cells,II_III,19,0.11545386177585672,0.22258624503136545
train,Categorical EM-MMIL,I,Myeloid cells,II_III,271,0.09247301495990222,0.3772056345025307
train,Categorical EM-MMIL,I,T lymphocytes,II_III,762,0.05147797782737765,0.06584464182545799
train,Categorical EM-MMIL,I,Endothelial cells,II_III,9,0.024245361480102114,0.07563803361565964
train,Categorical EM-MMIL,I,B lymphocytes,II_III,298,0.020679380838358172,0.0039049264669006405
train,Categorical EM-MMIL,I,Undetermined,II_III,5,3.127568278363376e-11,9.069178095564627e-11
