split,model,Stage_group,Cell_type,n_cells,mean_prob,prop_gt_0.5,prop_gt_0.9
train,MCEM-MMIL,Early,B lymphocytes,349,0.001151205750285436,0.0,0.0
train,MCEM-MMIL,Early,T lymphocytes,912,0.0009289950814848915,0.0,0.0
train,MCEM-MMIL,Early,Undetermined,8,3.9603190705894795e-05,0.0,0.0
train,MCEM-MMIL,Early,Endothelial cells,12,1.3042220898971867e-06,0.0,0.0
train,Naive inherited-label classifier,Advanced,Oligodendrocytes,15,0.9861060389347409,1.0,1.0
train,Naive inherited-label classifier,Advanced,Epithelial cells,1048,0.9464810388704157,0.9751908396946565,0.8816793893129771
train,Naive inherited-label classifier,Advanced,Undetermined,17,0.8414082844695635,1.0,0.47058823529411764
train,Naive inherited-label classifier,Advanced,Myeloid cells,714,0.8274431151807479,0.8837535014005602,0.5672268907563025
train,Naive inherited-label classifier,Advanced,Fibroblasts,60,0.8021209326415178,0.8833333333333333,0.5
train,Naive inherited-label classifier,Advanced,MAST cells,26,0.7545504242994119,0.8461538461538461,0.38461538461538464
train,Naive inherited-label classifier,Advanced,NK cells,170,0.7535387534739745,0.8,0.45294117647058824
train,Naive inherited-label classifier,Advanced,T lymphocytes,1069,0.7314982783105808,0.8157156220767072,0.32273152478952294
train,Naive inherited-label classifier,Advanced,B lymphocytes,397,0.6693470609154824,0.7934508816120907,0.11083123425692695
train,Naive inherited-label classifier,Advanced,Endothelial cells,3,0.4961746441687984,0.6666666666666666,0.0
train,Naive inherited-label classifier,Early,Endothelial cells,12,0.5798667499599316,0.5833333333333334,0.16666666666666666
train,Naive inherited-label classifier,Early,MAST cells,22,0.5616424494221532,0.5909090909090909,0.045454545454545456
train,Naive inherited-label classifier,Early,Myeloid cells,303,0.40479215597280316,0.3465346534653465,0.07260726072607261
train,Naive inherited-label classifier,Early,NK cells,84,0.3944402039797426,0.34523809523809523,0.023809523809523808
train,Naive inherited-label classifier,Early,Epithelial cells,151,0.38254731468808123,0.3509933774834437,0.07947019867549669
train,Naive inherited-label classifier,Early,B lymphocytes,349,0.3754967976946867,0.27793696275071633,0.0
train,Naive inherited-label classifier,Early,Fibroblasts,29,0.3604561021815529,0.3448275862068966,0.1724137931034483
train,Naive inherited-label classifier,Early,Undetermined,8,0.31870628394029177,0.375,0.0
train,Naive inherited-label classifier,Early,T lymphocytes,912,0.31276462104048924,0.22916666666666666,0.020833333333333332
