experiment_id,task_type,categorical_scheme,feature_method,n_components,model_backend,glmnet_alpha,seed,rho,label_strength,mcem_samples,model,aggregation,n_patients,n_early,n_advanced,auroc,multiclass_logloss,accuracy,balanced_accuracy,macro_f1,metric_name,metric_value
EXP020_binary_ICAk20_xgboost_seed2026,binary,,ICA,20,xgboost,,2026,0.7,,30,MCEM-MMIL,median_prob,11,5.0,6.0,1.0,,,,,auroc,1.0
EXP020_binary_ICAk20_xgboost_seed2026,binary,,ICA,20,xgboost,,2026,0.7,,30,Naive inherited-label classifier,mean_prob,11,5.0,6.0,1.0,,,,,auroc,1.0
EXP021_binary_ICAk50_glmnet_ridge_seed2026,binary,,ICA,50,glmnet,0.0,2026,0.7,,30,Deterministic EM-MMIL,mean_prob,11,5.0,6.0,1.0,,,,,auroc,1.0
EXP021_binary_ICAk50_glmnet_ridge_seed2026,binary,,ICA,50,glmnet,0.0,2026,0.7,,30,MCEM-MMIL,mean_prob,11,5.0,6.0,1.0,,,,,auroc,1.0
EXP021_binary_ICAk50_glmnet_ridge_seed2026,binary,,ICA,50,glmnet,0.0,2026,0.7,,30,Naive inherited-label classifier,mean_prob,11,5.0,6.0,1.0,,,,,auroc,1.0
EXP022_binary_ICAk50_glmnet_elasticnet_seed2026,binary,,ICA,50,glmnet,0.5,2026,0.7,,30,Deterministic EM-MMIL,mean_prob,11,5.0,6.0,1.0,,,,,auroc,1.0
EXP022_binary_ICAk50_glmnet_elasticnet_seed2026,binary,,ICA,50,glmnet,0.5,2026,0.7,,30,MCEM-MMIL,mean_prob,11,5.0,6.0,1.0,,,,,auroc,1.0
EXP022_binary_ICAk50_glmnet_elasticnet_seed2026,binary,,ICA,50,glmnet,0.5,2026,0.7,,30,Naive inherited-label classifier,mean_prob,11,5.0,6.0,1.0,,,,,auroc,1.0
EXP023_binary_ICAk50_glmnet_lasso_seed2026,binary,,ICA,50,glmnet,1.0,2026,0.7,,30,Deterministic EM-MMIL,mean_prob,11,5.0,6.0,1.0,,,,,auroc,1.0
EXP023_binary_ICAk50_glmnet_lasso_seed2026,binary,,ICA,50,glmnet,1.0,2026,0.7,,30,MCEM-MMIL,mean_prob,11,5.0,6.0,1.0,,,,,auroc,1.0
EXP023_binary_ICAk50_glmnet_lasso_seed2026,binary,,ICA,50,glmnet,1.0,2026,0.7,,30,Naive inherited-label classifier,mean_prob,11,5.0,6.0,1.0,,,,,auroc,1.0
EXP024_binary_ICAk50_xgboost_seed2026,binary,,ICA,50,xgboost,,2026,0.7,,30,Deterministic EM-MMIL,mean_prob,11,5.0,6.0,1.0,,,,,auroc,1.0
EXP024_binary_ICAk50_xgboost_seed2026,binary,,ICA,50,xgboost,,2026,0.7,,30,MCEM-MMIL,mean_prob,11,5.0,6.0,1.0,,,,,auroc,1.0
EXP024_binary_ICAk50_xgboost_seed2026,binary,,ICA,50,xgboost,,2026,0.7,,30,Naive inherited-label classifier,mean_prob,11,5.0,6.0,1.0,,,,,auroc,1.0
EXP025_binary_NMFk10_glmnet_ridge_seed2026,binary,,NMF,10,glmnet,0.0,2026,0.7,,30,Deterministic EM-MMIL,median_prob,11,5.0,6.0,1.0,,,,,auroc,1.0
EXP025_binary_NMFk10_glmnet_ridge_seed2026,binary,,NMF,10,glmnet,0.0,2026,0.7,,30,MCEM-MMIL,median_prob,11,5.0,6.0,1.0,,,,,auroc,1.0
EXP025_binary_NMFk10_glmnet_ridge_seed2026,binary,,NMF,10,glmnet,0.0,2026,0.7,,30,Naive inherited-label classifier,mean_prob,11,5.0,6.0,0.9666666666666668,,,,,auroc,0.9666666666666668
EXP026_binary_NMFk10_glmnet_elasticnet_seed2026,binary,,NMF,10,glmnet,0.5,2026,0.7,,30,Deterministic EM-MMIL,median_prob,11,5.0,6.0,1.0,,,,,auroc,1.0
EXP026_binary_NMFk10_glmnet_elasticnet_seed2026,binary,,NMF,10,glmnet,0.5,2026,0.7,,30,MCEM-MMIL,median_prob,11,5.0,6.0,1.0,,,,,auroc,1.0
EXP026_binary_NMFk10_glmnet_elasticnet_seed2026,binary,,NMF,10,glmnet,0.5,2026,0.7,,30,Naive inherited-label classifier,mean_prob,11,5.0,6.0,0.9666666666666668,,,,,auroc,0.9666666666666668
EXP027_binary_NMFk10_glmnet_lasso_seed2026,binary,,NMF,10,glmnet,1.0,2026,0.7,,30,Deterministic EM-MMIL,median_prob,11,5.0,6.0,1.0,,,,,auroc,1.0
EXP027_binary_NMFk10_glmnet_lasso_seed2026,binary,,NMF,10,glmnet,1.0,2026,0.7,,30,MCEM-MMIL,median_prob,11,5.0,6.0,1.0,,,,,auroc,1.0
EXP027_binary_NMFk10_glmnet_lasso_seed2026,binary,,NMF,10,glmnet,1.0,2026,0.7,,30,Naive inherited-label classifier,mean_prob,11,5.0,6.0,0.9666666666666668,,,,,auroc,0.9666666666666668
EXP028_binary_NMFk10_xgboost_seed2026,binary,,NMF,10,xgboost,,2026,0.7,,30,Deterministic EM-MMIL,mean_prob,11,5.0,6.0,0.9333333333333332,,,,,auroc,0.9333333333333332
EXP028_binary_NMFk10_xgboost_seed2026,binary,,NMF,10,xgboost,,2026,0.7,,30,MCEM-MMIL,q99_prob,11,5.0,6.0,0.9333333333333332,,,,,auroc,0.9333333333333332
EXP028_binary_NMFk10_xgboost_seed2026,binary,,NMF,10,xgboost,,2026,0.7,,30,Naive inherited-label classifier,mean_prob,11,5.0,6.0,1.0,,,,,auroc,1.0
EXP029_binary_NMFk20_glmnet_ridge_seed2026,binary,,NMF,20,glmnet,0.0,2026,0.7,,30,Deterministic EM-MMIL,mean_prob,11,5.0,6.0,1.0,,,,,auroc,1.0
EXP029_binary_NMFk20_glmnet_ridge_seed2026,binary,,NMF,20,glmnet,0.0,2026,0.7,,30,MCEM-MMIL,mean_prob,11,5.0,6.0,1.0,,,,,auroc,1.0
EXP029_binary_NMFk20_glmnet_ridge_seed2026,binary,,NMF,20,glmnet,0.0,2026,0.7,,30,Naive inherited-label classifier,mean_prob,11,5.0,6.0,1.0,,,,,auroc,1.0
EXP030_binary_NMFk20_glmnet_elasticnet_seed2026,binary,,NMF,20,glmnet,0.5,2026,0.7,,30,Deterministic EM-MMIL,mean_prob,11,5.0,6.0,1.0,,,,,auroc,1.0
EXP030_binary_NMFk20_glmnet_elasticnet_seed2026,binary,,NMF,20,glmnet,0.5,2026,0.7,,30,MCEM-MMIL,mean_prob,11,5.0,6.0,1.0,,,,,auroc,1.0
EXP030_binary_NMFk20_glmnet_elasticnet_seed2026,binary,,NMF,20,glmnet,0.5,2026,0.7,,30,Naive inherited-label classifier,mean_prob,11,5.0,6.0,1.0,,,,,auroc,1.0
EXP031_binary_NMFk20_glmnet_lasso_seed2026,binary,,NMF,20,glmnet,1.0,2026,0.7,,30,Deterministic EM-MMIL,mean_prob,11,5.0,6.0,1.0,,,,,auroc,1.0
EXP031_binary_NMFk20_glmnet_lasso_seed2026,binary,,NMF,20,glmnet,1.0,2026,0.7,,30,MCEM-MMIL,mean_prob,11,5.0,6.0,1.0,,,,,auroc,1.0
EXP031_binary_NMFk20_glmnet_lasso_seed2026,binary,,NMF,20,glmnet,1.0,2026,0.7,,30,Naive inherited-label classifier,mean_prob,11,5.0,6.0,1.0,,,,,auroc,1.0
EXP032_binary_NMFk20_xgboost_seed2026,binary,,NMF,20,xgboost,,2026,0.7,,30,Deterministic EM-MMIL,mean_prob,11,5.0,6.0,1.0,,,,,auroc,1.0
EXP032_binary_NMFk20_xgboost_seed2026,binary,,NMF,20,xgboost,,2026,0.7,,30,MCEM-MMIL,mean_prob,11,5.0,6.0,1.0,,,,,auroc,1.0
EXP032_binary_NMFk20_xgboost_seed2026,binary,,NMF,20,xgboost,,2026,0.7,,30,Naive inherited-label classifier,mean_prob,11,5.0,6.0,1.0,,,,,auroc,1.0
EXP033_binary_NMFk50_glmnet_ridge_seed2026,binary,,NMF,50,glmnet,0.0,2026,0.7,,30,Deterministic EM-MMIL,mean_prob,11,5.0,6.0,1.0,,,,,auroc,1.0
EXP033_binary_NMFk50_glmnet_ridge_seed2026,binary,,NMF,50,glmnet,0.0,2026,0.7,,30,MCEM-MMIL,mean_prob,11,5.0,6.0,1.0,,,,,auroc,1.0
EXP033_binary_NMFk50_glmnet_ridge_seed2026,binary,,NMF,50,glmnet,0.0,2026,0.7,,30,Naive inherited-label classifier,mean_prob,11,5.0,6.0,1.0,,,,,auroc,1.0
EXP034_binary_NMFk50_glmnet_elasticnet_seed2026,binary,,NMF,50,glmnet,0.5,2026,0.7,,30,Deterministic EM-MMIL,mean_prob,11,5.0,6.0,1.0,,,,,auroc,1.0
EXP034_binary_NMFk50_glmnet_elasticnet_seed2026,binary,,NMF,50,glmnet,0.5,2026,0.7,,30,MCEM-MMIL,mean_prob,11,5.0,6.0,1.0,,,,,auroc,1.0
EXP034_binary_NMFk50_glmnet_elasticnet_seed2026,binary,,NMF,50,glmnet,0.5,2026,0.7,,30,Naive inherited-label classifier,mean_prob,11,5.0,6.0,1.0,,,,,auroc,1.0
EXP035_binary_NMFk50_glmnet_lasso_seed2026,binary,,NMF,50,glmnet,1.0,2026,0.7,,30,Deterministic EM-MMIL,mean_prob,11,5.0,6.0,1.0,,,,,auroc,1.0
EXP035_binary_NMFk50_glmnet_lasso_seed2026,binary,,NMF,50,glmnet,1.0,2026,0.7,,30,MCEM-MMIL,mean_prob,11,5.0,6.0,1.0,,,,,auroc,1.0
EXP035_binary_NMFk50_glmnet_lasso_seed2026,binary,,NMF,50,glmnet,1.0,2026,0.7,,30,Naive inherited-label classifier,mean_prob,11,5.0,6.0,1.0,,,,,auroc,1.0
EXP036_binary_NMFk50_xgboost_seed2026,binary,,NMF,50,xgboost,,2026,0.7,,30,Deterministic EM-MMIL,mean_prob,11,5.0,6.0,1.0,,,,,auroc,1.0
EXP036_binary_NMFk50_xgboost_seed2026,binary,,NMF,50,xgboost,,2026,0.7,,30,MCEM-MMIL,mean_prob,11,5.0,6.0,1.0,,,,,auroc,1.0
EXP036_binary_NMFk50_xgboost_seed2026,binary,,NMF,50,xgboost,,2026,0.7,,30,Naive inherited-label classifier,mean_prob,11,5.0,6.0,1.0,,,,,auroc,1.0
