split,model,Stage_cat,Cell_type,class,n_cells,mean_prob,q90_prob
train,Categorical EM-MMIL,I,Undetermined,II_III,5,1.1446656074338025e-05,2.220578903722042e-05
train,Categorical EM-MMIL,I,Fibroblasts,IV,13,0.42085847389906367,0.9245601406586897
train,Categorical EM-MMIL,I,Epithelial cells,IV,75,0.40127526137285907,0.9251804561655737
train,Categorical EM-MMIL,I,MAST cells,IV,19,0.311262457951582,0.7959702612926606
train,Categorical EM-MMIL,I,Undetermined,IV,5,0.3022678991336154,0.6781028180770714
train,Categorical EM-MMIL,I,NK cells,IV,58,0.24939614285567538,0.7428056375254732
train,Categorical EM-MMIL,I,Myeloid cells,IV,271,0.23040116395483742,0.9561346657723224
train,Categorical EM-MMIL,I,B lymphocytes,IV,298,0.22715116293112747,0.6991898688598087
train,Categorical EM-MMIL,I,T lymphocytes,IV,762,0.22399073826532465,0.7530342442882804
train,Categorical EM-MMIL,I,Endothelial cells,IV,9,0.21517913962306373,0.4879985515317274
train,Categorical EM-MMIL,II_III,Undetermined,I,2,0.7301170026873264,0.9395497961536167
train,Categorical EM-MMIL,II_III,Endothelial cells,I,3,0.6588465823731139,0.9584615891903354
train,Categorical EM-MMIL,II_III,B lymphocytes,I,57,0.5946686586871187,0.9515635743605135
train,Categorical EM-MMIL,II_III,T lymphocytes,I,226,0.40533063673309677,0.9366157980370662
train,Categorical EM-MMIL,II_III,Myeloid cells,I,122,0.3739599839267853,0.8869301644988775
train,Categorical EM-MMIL,II_III,NK cells,I,46,0.29832946174275765,0.9026985340363529
train,Categorical EM-MMIL,II_III,MAST cells,I,13,0.24413646639994652,0.37508238908349006
train,Categorical EM-MMIL,II_III,Epithelial cells,I,70,0.17375771798177853,0.43749751747447513
train,Categorical EM-MMIL,II_III,Fibroblasts,I,34,0.06606888687920669,0.07416797310440851
train,Categorical EM-MMIL,II_III,Oligodendrocytes,I,10,0.015582349137858258,0.032692466685825455
train,Categorical EM-MMIL,II_III,Oligodendrocytes,II_III,10,0.9336882940005184,0.9972461144615398
train,Categorical EM-MMIL,II_III,Fibroblasts,II_III,34,0.899694748322906,0.9999999291501392
train,Categorical EM-MMIL,II_III,MAST cells,II_III,13,0.40403816977998647,0.8052460114830042
train,Categorical EM-MMIL,II_III,Epithelial cells,II_III,70,0.362296431434545,0.9192191855391122
