experiment_id,task_type,categorical_scheme,feature_method,n_components,model_name,backend,seed,experiment_dir,resume_match_type,loaded_summary
EXP055_categorical_three_stage_ICAk20_glmnet_lasso_seed2026,categorical,three_stage,ICA,20,glmnet_lasso,glmnet,2026,Output\categorical\experiments\EXP055_categorical_three_stage_ICAk20_glmnet_lasso_seed2026,exact,True
EXP056_categorical_three_stage_ICAk20_xgboost_seed2026,categorical,three_stage,ICA,20,xgboost,xgboost,2026,Output\categorical\experiments\EXP056_categorical_three_stage_ICAk20_xgboost_seed2026,exact,True
EXP057_categorical_three_stage_ICAk50_glmnet_ridge_seed2026,categorical,three_stage,ICA,50,glmnet_ridge,glmnet,2026,Output\categorical\experiments\EXP057_categorical_three_stage_ICAk50_glmnet_ridge_seed2026,exact,True
EXP058_categorical_three_stage_ICAk50_glmnet_elasticnet_seed2026,categorical,three_stage,ICA,50,glmnet_elasticnet,glmnet,2026,Output\categorical\experiments\EXP058_categorical_three_stage_ICAk50_glmnet_elasticnet_seed2026,exact,True
EXP059_categorical_three_stage_ICAk50_glmnet_lasso_seed2026,categorical,three_stage,ICA,50,glmnet_lasso,glmnet,2026,Output\categorical\experiments\EXP059_categorical_three_stage_ICAk50_glmnet_lasso_seed2026,exact,True
EXP060_categorical_three_stage_ICAk50_xgboost_seed2026,categorical,three_stage,ICA,50,xgboost,xgboost,2026,Output\categorical\experiments\EXP060_categorical_three_stage_ICAk50_xgboost_seed2026,exact,True
EXP061_categorical_three_stage_NMFk10_glmnet_ridge_seed2026,categorical,three_stage,NMF,10,glmnet_ridge,glmnet,2026,Output\categorical\experiments\EXP061_categorical_three_stage_NMFk10_glmnet_ridge_seed2026,exact,True
EXP062_categorical_three_stage_NMFk10_glmnet_elasticnet_seed2026,categorical,three_stage,NMF,10,glmnet_elasticnet,glmnet,2026,Output\categorical\experiments\EXP062_categorical_three_stage_NMFk10_glmnet_elasticnet_seed2026,exact,True
EXP063_categorical_three_stage_NMFk10_glmnet_lasso_seed2026,categorical,three_stage,NMF,10,glmnet_lasso,glmnet,2026,Output\categorical\experiments\EXP063_categorical_three_stage_NMFk10_glmnet_lasso_seed2026,exact,True
EXP064_categorical_three_stage_NMFk10_xgboost_seed2026,categorical,three_stage,NMF,10,xgboost,xgboost,2026,Output\categorical\experiments\EXP064_categorical_three_stage_NMFk10_xgboost_seed2026,exact,True
EXP065_categorical_three_stage_NMFk20_glmnet_ridge_seed2026,categorical,three_stage,NMF,20,glmnet_ridge,glmnet,2026,Output\categorical\experiments\EXP065_categorical_three_stage_NMFk20_glmnet_ridge_seed2026,exact,True
EXP066_categorical_three_stage_NMFk20_glmnet_elasticnet_seed2026,categorical,three_stage,NMF,20,glmnet_elasticnet,glmnet,2026,Output\categorical\experiments\EXP066_categorical_three_stage_NMFk20_glmnet_elasticnet_seed2026,exact,True
