experiment_id,task_type,categorical_scheme,feature_method,n_components,model_backend,glmnet_alpha,seed,rho,label_strength,mcem_samples,model,aggregation,n_patients,n_early,n_advanced,auroc,multiclass_logloss,accuracy,balanced_accuracy,macro_f1,metric_name,metric_value
EXP045_categorical_three_stage_PCAk50_glmnet_ridge_seed2026,categorical,three_stage,PCA,50,glmnet,0.0,2026,,0.7,30,Categorical EM-MMIL,mean_prob,12,,,,0.9494944246523608,0.75,0.6,0.8181818181818181,accuracy,0.75
EXP045_categorical_three_stage_PCAk50_glmnet_ridge_seed2026,categorical,three_stage,PCA,50,glmnet,0.0,2026,,0.7,30,Categorical MCEM-MMIL,mean_prob,12,,,,0.9335471694986616,0.75,0.6,0.8181818181818181,accuracy,0.75
EXP045_categorical_three_stage_PCAk50_glmnet_ridge_seed2026,categorical,three_stage,PCA,50,glmnet,0.0,2026,,0.7,30,Naive inherited-label classifier,median_prob,12,,,,0.7468021779481897,0.75,0.6,0.8181818181818181,accuracy,0.75
EXP046_categorical_three_stage_PCAk50_glmnet_elasticnet_seed2026,categorical,three_stage,PCA,50,glmnet,0.5,2026,,0.7,30,Categorical EM-MMIL,mean_prob,12,,,,1.0389264069813275,0.75,0.6,0.8181818181818181,accuracy,0.75
EXP046_categorical_three_stage_PCAk50_glmnet_elasticnet_seed2026,categorical,three_stage,PCA,50,glmnet,0.5,2026,,0.7,30,Categorical MCEM-MMIL,mean_prob,12,,,,1.0255229927376392,0.75,0.6,0.8181818181818181,accuracy,0.75
EXP046_categorical_three_stage_PCAk50_glmnet_elasticnet_seed2026,categorical,three_stage,PCA,50,glmnet,0.5,2026,,0.7,30,Naive inherited-label classifier,median_prob,12,,,,0.7290330014223771,0.75,0.6,0.8181818181818181,accuracy,0.75
EXP047_categorical_three_stage_PCAk50_glmnet_lasso_seed2026,categorical,three_stage,PCA,50,glmnet,1.0,2026,,0.7,30,Categorical EM-MMIL,mean_prob,12,,,,1.0510038994110673,0.75,0.6,0.8181818181818181,accuracy,0.75
EXP047_categorical_three_stage_PCAk50_glmnet_lasso_seed2026,categorical,three_stage,PCA,50,glmnet,1.0,2026,,0.7,30,Categorical MCEM-MMIL,mean_prob,12,,,,1.0367287691919411,0.75,0.6,0.8181818181818181,accuracy,0.75
EXP047_categorical_three_stage_PCAk50_glmnet_lasso_seed2026,categorical,three_stage,PCA,50,glmnet,1.0,2026,,0.7,30,Naive inherited-label classifier,median_prob,12,,,,0.7287866948157348,0.75,0.6,0.8181818181818181,accuracy,0.75
EXP048_categorical_three_stage_PCAk50_xgboost_seed2026,categorical,three_stage,PCA,50,xgboost,,2026,,0.7,30,Categorical EM-MMIL,q90_prob,12,,,,1.0447908955426095,0.75,0.6,0.8181818181818181,accuracy,0.75
EXP048_categorical_three_stage_PCAk50_xgboost_seed2026,categorical,three_stage,PCA,50,xgboost,,2026,,0.7,30,Categorical MCEM-MMIL,q90_prob,12,,,,1.041951896835434,0.75,0.6,0.8181818181818181,accuracy,0.75
EXP048_categorical_three_stage_PCAk50_xgboost_seed2026,categorical,three_stage,PCA,50,xgboost,,2026,,0.7,30,Naive inherited-label classifier,mean_prob,12,,,,0.8663362469801216,0.75,0.6,0.8181818181818181,accuracy,0.75
